movieId,title,overview,genres,keywords,releaseDate,voteAverage,voteCount,posterPath,director
139251,I Married Who?,"Straight-laced Jordan (Martin) is about to marry Peter (Snedeker), a clean-cut ambitious attorney. Before she walks down the aisle, Jordan and her best friends, Claire (Adrienne Frantz) and Jessica (Daphnee Duplaix), head to Vegas for a bachelorette party, because what happens in Vegas stays in Vegas, right? But when Jordan wakes up the next morning unable to recall the night before, she panics when she finds she’s in movie star Matt's (Ethan Erickson) hotel suite with a gigantic diamond on her finger and a marriage certificate lying nearby. Before Jordan can have the marriage annulled and put this nightmare behind her, the impromptu wedding explodes into a publicity stunt fueled by Matt’s manager Eric (Bruce Nozick) to promote his latest movie. With her wedding day approaching, Jordan finds herself more confused than ever when she starts falling in love with the movie star she’s married to instead of the fiancé she thought was her perfect match.","[10770, 35]",,2012-10-20,5.0,6.0,/lLqUdTxPCxSPANKeNHl5wusH7Ze.jpg,Kevin Connor
391778,Azhar,"Indian biographical sports film directed by Tony D'Souza based on the life of the former Indian international cricketer, Mohammad Azharuddin. It will star emraan hashmi in the lead role alongside Prachi Desai , Nargis Fakhri and Huma Qureshi",[18],,2016-05-13,5.6,11.0,/jwvpI85cqfVfs3ioFHu4invTLeI.jpg,Anthony D'Souza
4546,The Count of Monte-Cristo,"A TV adaptation of the classic Alexandre Dumas novel. Edmond Dantes is falsely accused by those jealous of his good fortune, and is sentenced to spend the rest of his life in the notorious island prison, Chateau d'If. While imprisoned, he meets the Abbe Faria, a fellow prisoner whom everyone believes to be mad. The Abbe tells Edmond of a fantastic treasure hidden away on a tiny island, that only he knows the location of. After many years in prison, the old Abbe dies, and Edmond escapes disguised as the dead body. Now free, Edmond must find the treasure the Abbe told him of, so he can use the new-found wealth to exact revenge on those who have wronged him.","[28, 12, 18, 36, 10770]","falsely accused, treasure, return, count of monte christo, revenge",1975-01-10,6.1,30.0,/jbXO1lV54yWLGyzpOxQjzBxMfLR.jpg,David Greene
389053,The Do-Over,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,"[28, 12, 35]",,2016-05-27,5.6,468.0,/z9VCm2E6gCAwbM2SELRawfqdXBO.jpg,Steven Brill
343140,Office,A takedown of capitalist corruption and greed that's savvily packaged as a song-and-dance extravaganza.,"[10402, 18]","office politics, financial crisis",2015-09-24,6.8,6.0,/vHOirAf30kgYB36zRRSF4PhF8Qr.jpg,Johnnie To
363103,Nise: The Heart of Madness,"After being released from prison, Dr. Nise da Silveira is back at work in a psychiatric hospital on the outskirts of Rio de Janeirom where she refuses to employ the new and violent electroshock in the treatment of schizophrenics. Ridiculed by doctors, she is forced to take on the abandoned Sector for Occupational Therapy, where she would start a revolution through paintings, animals and love.",[18],"brazilian, biography, drama",2016-04-21,7.6,19.0,/eDEu2l4xvmhVuLerpHzzz2i1lgm.jpg,Roberto Berliner
301804,Before I Wake,About an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.,"[18, 14, 27, 53]","dream, nightmare, insomnia, orphan",2016-04-07,6.2,416.0,/sI9neTbF3ECdpf2MpC88EMGJH13.jpg,Mike Flanagan
374458,Graduation,"Romeo Aldea, a physician living in a small mountain town in Transylvania, has raised his daughter Eliza with the idea that once she turns 18, she will leave to study and live abroad. His plan is close to succeeding. Eliza has won a scholarship to study psychology in the UK. She just has to pass her final exams – a formality for such a good student. On the day before her first written exam, Eliza is assaulted in an attack that could jeopardize her entire future. Now Romeo has to make a decision. There are ways of solving the situation, but none of them using the principles he, as a father, has taught his daughter.",[18],"female nudity, graduation, final exam, assault, rape attempt, motorcycle, father daughter relationship, family, extramarital affair, ethical dilemma, abortion, criminal assault",2016-05-20,6.7,54.0,/FLocEtNx189qFvqRpaYArNK8w2.jpg,Cristian Mungiu
26677,The Video Dead,"A supernatural TV is mistakenly delivered to a suburban family instead of a research lab. After the family mysteriously turn up dead, a new family moves in and finds the TV hidden in the basement. Soon they discover the TV is actually a gateway for the undead.",[27],zombie,1987-11-06,5.0,20.0,/hsYfuS1kWb41aPf8ka7rgrYuMpP.jpg,Robert Scott
335409,Sharkansas Women's Prison Massacre,"When a fracking mishap accidentally rips apart the earth’s crust, the resulting hole opens up a gaping underground water way to a vast and mysterious ocean somewhere deep below. Instantly, giant prehistoric sharks begin wending their way upward toward a murky bog in the heart of the Arkansas Bayou. Unfortunately, for a group of female prisoners on a work detail in the swamp, the deadly sharks attack without warning – pinning a hapless group of intended victims in a small deserted cabin in the heart of the wetlands. Death may be the only means of escape!","[10770, 878, 28, 27]","monster, escape, man hunt, shark, tv movie, women in prison",2015-11-04,5.7,10.0,/kB7jXKuObdVq83JjAC9prIa2pM1.jpg,Jim Wynorski
